Year,State,Metric,Age Range,"Events per 1,000 women"
2010,RI,Abortion Rate,15-17,8.3
2011,RI,Abortion Rate,15-17,7.2
2012,RI,Abortion Rate,15-17,5.1
2013,RI,Abortion Rate,15-17,4.2
2014,RI,Abortion Rate,15-17,3.8
2015,RI,Abortion Rate,15-17,3.5
2016,RI,Abortion Rate,15-17,4.2
1988,SC,Abortion Rate,15-17,25.1
1992,SC,Abortion Rate,15-17,15.6
1996,SC,Abortion Rate,15-17,13.3
2000,SC,Abortion Rate,15-17,12.6
2005,SC,Abortion Rate,15-17,11.0
2006,SC,Abortion Rate,15-17,10.6
2007,SC,Abortion Rate,15-17,11.5
2008,SC,Abortion Rate,15-17,9.7
2009,SC,Abortion Rate,15-17,9.4
2010,SC,Abortion Rate,15-17,8.699999999999998
2011,SC,Abortion Rate,15-17,7.5
2012,SC,Abortion Rate,15-17,6.1
2013,SC,Abortion Rate,15-17,5.9
2014,SC,Abortion Rate,15-17,4.7
2015,SC,Abortion Rate,15-17,4.3
2016,SC,Abortion Rate,15-17,3.9
1988,SD,Abortion Rate,15-17,11.0
1992,SD,Abortion Rate,15-17,11.8
1996,SD,Abortion Rate,15-17,9.0
2000,SD,Abortion Rate,15-17,3.3
2005,SD,Abortion Rate,15-17,3.8
2006,SD,Abortion Rate,15-17,3.2
2007,SD,Abortion Rate,15-17,3.7
2008,SD,Abortion Rate,15-17,3.5
2009,SD,Abortion Rate,15-17,2.9
2010,SD,Abortion Rate,15-17,2.2
2011,SD,Abortion Rate,15-17,1.8
2012,SD,Abortion Rate,15-17,1.6
2013,SD,Abortion Rate,15-17,1.7
2014,SD,Abortion Rate,15-17,2.3
2015,SD,Abortion Rate,15-17,1.8
2016,SD,Abortion Rate,15-17,1.1
1988,TN,Abortion Rate,15-17,21.1
1992,TN,Abortion Rate,15-17,14.9
1996,TN,Abortion Rate,15-17,11.3
2000,TN,Abortion Rate,15-17,8.699999999999998
2005,TN,Abortion Rate,15-17,6.5
2006,TN,Abortion Rate,15-17,7.0
2007,TN,Abortion Rate,15-17,6.5
2008,TN,Abortion Rate,15-17,6.8
2009,TN,Abortion Rate,15-17,6.3
2010,TN,Abortion Rate,15-17,5.4
2011,TN,Abortion Rate,15-17,4.5
2012,TN,Abortion Rate,15-17,4.1
2013,TN,Abortion Rate,15-17,3.5
2014,TN,Abortion Rate,15-17,2.6
2015,TN,Abortion Rate,15-17,2.8
2016,TN,Abortion Rate,15-17,2.3
1988,TX,Abortion Rate,15-17,18.8
1992,TX,Abortion Rate,15-17,15.0
1996,TX,Abortion Rate,15-17,13.4
2000,TX,Abortion Rate,15-17,8.9
2005,TX,Abortion Rate,15-17,6.6
2006,TX,Abortion Rate,15-17,7.9
2007,TX,Abortion Rate,15-17,7.9
2008,TX,Abortion Rate,15-17,7.599999999999999
2009,TX,Abortion Rate,15-17,7.2
2010,TX,Abortion Rate,15-17,6.1
2011,TX,Abortion Rate,15-17,5.3
2012,TX,Abortion Rate,15-17,4.3
2013,TX,Abortion Rate,15-17,3.8
2014,TX,Abortion Rate,15-17,2.7
2015,TX,Abortion Rate,15-17,2.5
2016,TX,Abortion Rate,15-17,2.4
1973,US,Abortion Rate,15-17,17.1
1974,US,Abortion Rate,15-17,19.7
1975,US,Abortion Rate,15-17,22.4
1976,US,Abortion Rate,15-17,24.4
1977,US,Abortion Rate,15-17,26.5
1978,US,Abortion Rate,15-17,27.2
1979,US,Abortion Rate,15-17,29.1
1980,US,Abortion Rate,15-17,30.5
1981,US,Abortion Rate,15-17,30.4
1982,US,Abortion Rate,15-17,30.3
1983,US,Abortion Rate,15-17,31.0
1984,US,Abortion Rate,15-17,30.3
1985,US,Abortion Rate,15-17,31.0
1986,US,Abortion Rate,15-17,30.3
1987,US,Abortion Rate,15-17,30.0
1988,US,Abortion Rate,15-17,30.5
1989,US,Abortion Rate,15-17,28.3
1990,US,Abortion Rate,15-17,26.9
1991,US,Abortion Rate,15-17,24.5
1992,US,Abortion Rate,15-17,23.3
1993,US,Abortion Rate,15-17,22.5
1994,US,Abortion Rate,15-17,21.3
1995,US,Abortion Rate,15-17,19.8
1996,US,Abortion Rate,15-17,18.9
1997,US,Abortion Rate,15-17,17.4
1998,US,Abortion Rate,15-17,16.6
1999,US,Abortion Rate,15-17,15.5
2000,US,Abortion Rate,15-17,14.7
2001,US,Abortion Rate,15-17,13.6
2002,US,Abortion Rate,15-17,13.0
2003,US,Abortion Rate,15-17,12.6
2004,US,Abortion Rate,15-17,11.8
2005,US,Abortion Rate,15-17,11.4
2006,US,Abortion Rate,15-17,11.4
2007,US,Abortion Rate,15-17,11.0
2008,US,Abortion Rate,15-17,10.6
2009,US,Abortion Rate,15-17,9.6
2010,US,Abortion Rate,15-17,8.599999999999998
2011,US,Abortion Rate,15-17,7.5
2012,US,Abortion Rate,15-17,6.4
2013,US,Abortion Rate,15-17,5.5
2014,US,Abortion Rate,15-17,4.9
2015,US,Abortion Rate,15-17,4.3
2016,US,Abortion Rate,15-17,4.0
1988,UT,Abortion Rate,15-17,9.7
1992,UT,Abortion Rate,15-17,5.3
1996,UT,Abortion Rate,15-17,4.0
2000,UT,Abortion Rate,15-17,3.6
2005,UT,Abortion Rate,15-17,3.3
2006,UT,Abortion Rate,15-17,3.1
2007,UT,Abortion Rate,15-17,2.9
2008,UT,Abortion Rate,15-17,3.2
2009,UT,Abortion Rate,15-17,2.5
2010,UT,Abortion Rate,15-17,2.1
2011,UT,Abortion Rate,15-17,2.1
2012,UT,Abortion Rate,15-17,1.6
2013,UT,Abortion Rate,15-17,1.5
2014,UT,Abortion Rate,15-17,1.3
2015,UT,Abortion Rate,15-17,1.1
2016,UT,Abortion Rate,15-17,1.0
1988,VT,Abortion Rate,15-17,27.2
1992,VT,Abortion Rate,15-17,16.4
1996,VT,Abortion Rate,15-17,15.3
2000,VT,Abortion Rate,15-17,8.9
2005,VT,Abortion Rate,15-17,9.0
2006,VT,Abortion Rate,15-17,8.0
2007,VT,Abortion Rate,15-17,7.9
2008,VT,Abortion Rate,15-17,6.9
2009,VT,Abortion Rate,15-17,5.2
2010,VT,Abortion Rate,15-17,4.6
2011,VT,Abortion Rate,15-17,6.9
2012,VT,Abortion Rate,15-17,6.3
2013,VT,Abortion Rate,15-17,6.2
2014,VT,Abortion Rate,15-17,4.5
2015,VT,Abortion Rate,15-17,4.0
2016,VT,Abortion Rate,15-17,4.3
1988,VA,Abortion Rate,15-17,32.5
1992,VA,Abortion Rate,15-17,23.1
1996,VA,Abortion Rate,15-17,18.9
2000,VA,Abortion Rate,15-17,11.4
2005,VA,Abortion Rate,15-17,9.3
2006,VA,Abortion Rate,15-17,8.3
2007,VA,Abortion Rate,15-17,8.4
2008,VA,Abortion Rate,15-17,8.199999999999998
2009,VA,Abortion Rate,15-17,7.7
2010,VA,Abortion Rate,15-17,6.7
2011,VA,Abortion Rate,15-17,5.6
2012,VA,Abortion Rate,15-17,5.1
2013,VA,Abortion Rate,15-17,4.5
2014,VA,Abortion Rate,15-17,3.4
2015,VA,Abortion Rate,15-17,3.2
2016,VA,Abortion Rate,15-17,3.1
1988,WA,Abortion Rate,15-17,31.2
1992,WA,Abortion Rate,15-17,28.6
1996,WA,Abortion Rate,15-17,20.1
2000,WA,Abortion Rate,15-17,16.2
2005,WA,Abortion Rate,15-17,12.2
2006,WA,Abortion Rate,15-17,11.9
2007,WA,Abortion Rate,15-17,12.9
2008,WA,Abortion Rate,15-17,11.6
2009,WA,Abortion Rate,15-17,10.7
2010,WA,Abortion Rate,15-17,9.5
2011,WA,Abortion Rate,15-17,8.4
2012,WA,Abortion Rate,15-17,7.4
2013,WA,Abortion Rate,15-17,6.2
2014,WA,Abortion Rate,15-17,5.3
2015,WA,Abortion Rate,15-17,5.1
2016,WA,Abortion Rate,15-17,4.5
1988,WV,Abortion Rate,15-17,11.9
1992,WV,Abortion Rate,15-17,10.4
1996,WV,Abortion Rate,15-17,8.599999999999998
2000,WV,Abortion Rate,15-17,5.9
2005,WV,Abortion Rate,15-17,4.7
2006,WV,Abortion Rate,15-17,4.0
2007,WV,Abortion Rate,15-17,5.2
2008,WV,Abortion Rate,15-17,4.3
2009,WV,Abortion Rate,15-17,5.1
2010,WV,Abortion Rate,15-17,5.9
2011,WV,Abortion Rate,15-17,4.4
2012,WV,Abortion Rate,15-17,3.2
2013,WV,Abortion Rate,15-17,2.9
2014,WV,Abortion Rate,15-17,2.3
2015,WV,Abortion Rate,15-17,2.0
2016,WV,Abortion Rate,15-17,2.0
1988,WI,Abortion Rate,15-17,19.9
1992,WI,Abortion Rate,15-17,12.6
1996,WI,Abortion Rate,15-17,10.0
2000,WI,Abortion Rate,15-17,7.0
2005,WI,Abortion Rate,15-17,5.5
2006,WI,Abortion Rate,15-17,5.0
2007,WI,Abortion Rate,15-17,5.1
2008,WI,Abortion Rate,15-17,4.7
2009,WI,Abortion Rate,15-17,4.3
2010,WI,Abortion Rate,15-17,3.9
2011,WI,Abortion Rate,15-17,3.2
2012,WI,Abortion Rate,15-17,2.9
2013,WI,Abortion Rate,15-17,2.2
2014,WI,Abortion Rate,15-17,2.2
2015,WI,Abortion Rate,15-17,2.5
2016,WI,Abortion Rate,15-17,2.2
1988,WY,Abortion Rate,15-17,17.4
1992,WY,Abortion Rate,15-17,10.3
1996,WY,Abortion Rate,15-17,16.8
2000,WY,Abortion Rate,15-17,15.7
2005,WY,Abortion Rate,15-17,7.1
2006,WY,Abortion Rate,15-17,6.4
2007,WY,Abortion Rate,15-17,6.4
2008,WY,Abortion Rate,15-17,5.6
2009,WY,Abortion Rate,15-17,4.9
2010,WY,Abortion Rate,15-17,4.7
2011,WY,Abortion Rate,15-17,4.5
2012,WY,Abortion Rate,15-17,3.6
2013,WY,Abortion Rate,15-17,2.7
2014,WY,Abortion Rate,15-17,2.7
2015,WY,Abortion Rate,15-17,2.7
2016,WY,Abortion Rate,15-17,2.1
1988,AL,Birth Rate,35-39,19.8
1992,AL,Birth Rate,35-39,20.4
1996,AL,Birth Rate,35-39,23.7
2000,AL,Birth Rate,35-39,26.4
2005,AL,Birth Rate,35-39,29.4
2006,AL,Birth Rate,35-39,30.6
2007,AL,Birth Rate,35-39,31.4
2008,AL,Birth Rate,35-39,30.7
2009,AL,Birth Rate,35-39,28.8
2010,AL,Birth Rate,35-39,29.3
2011,AL,Birth Rate,35-39,30.3
2012,AL,Birth Rate,35-39,30.5
2013,AL,Birth Rate,35-39,31.0
2014,AL,Birth Rate,35-39,33.1
2015,AL,Birth Rate,35-39,34.7
2016,AL,Birth Rate,35-39,35.7
1988,AK,Birth Rate,35-39,35.5
1992,AK,Birth Rate,35-39,38.4
1996,AK,Birth Rate,35-39,35.4
2000,AK,Birth Rate,35-39,39.1
2005,AK,Birth Rate,35-39,47.1
2006,AK,Birth Rate,35-39,51.5
2007,AK,Birth Rate,35-39,46.6
2008,AK,Birth Rate,35-39,48.5
2009,AK,Birth Rate,35-39,50.4
2010,AK,Birth Rate,35-39,46.0
2011,AK,Birth Rate,35-39,52.3
2012,AK,Birth Rate,35-39,51.3
2013,AK,Birth Rate,35-39,53.8
2014,AK,Birth Rate,35-39,50.7
2015,AK,Birth Rate,35-39,54.4
2016,AK,Birth Rate,35-39,55.2
1988,AZ,Birth Rate,35-39,30.4
1992,AZ,Birth Rate,35-39,34.7
1996,AZ,Birth Rate,35-39,35.9
2000,AZ,Birth Rate,35-39,40.6
2005,AZ,Birth Rate,35-39,46.8
2006,AZ,Birth Rate,35-39,49.5
2007,AZ,Birth Rate,35-39,48.5
2008,AZ,Birth Rate,35-39,48.2
2009,AZ,Birth Rate,35-39,45.4
2010,AZ,Birth Rate,35-39,44.5
2011,AZ,Birth Rate,35-39,45.5
2012,AZ,Birth Rate,35-39,46.1
2013,AZ,Birth Rate,35-39,46.4
2014,AZ,Birth Rate,35-39,49.0
2015,AZ,Birth Rate,35-39,48.2
2016,AZ,Birth Rate,35-39,47.4
1988,AR,Birth Rate,35-39,16.8
1992,AR,Birth Rate,35-39,18.3
1996,AR,Birth Rate,35-39,21.4
2000,AR,Birth Rate,35-39,21.9
2005,AR,Birth Rate,35-39,27.4
2006,AR,Birth Rate,35-39,28.3
2007,AR,Birth Rate,35-39,29.8
2008,AR,Birth Rate,35-39,28.6
2009,AR,Birth Rate,35-39,27.2
2010,AR,Birth Rate,35-39,28.3
2011,AR,Birth Rate,35-39,28.8
2012,AR,Birth Rate,35-39,31.1
2013,AR,Birth Rate,35-39,31.5
2014,AR,Birth Rate,35-39,32.7
2015,AR,Birth Rate,35-39,34.6
2016,AR,Birth Rate,35-39,34.7
1988,CA,Birth Rate,35-39,39.0
1992,CA,Birth Rate,35-39,45.1
1996,CA,Birth Rate,35-39,45.8
2000,CA,Birth Rate,35-39,49.7
2005,CA,Birth Rate,35-39,57.3
2006,CA,Birth Rate,35-39,58.6
2007,CA,Birth Rate,35-39,59.3
2008,CA,Birth Rate,35-39,58.5
2009,CA,Birth Rate,35-39,57.3
2010,CA,Birth Rate,35-39,57.1
2011,CA,Birth Rate,35-39,58.1
2012,CA,Birth Rate,35-39,60.2
2013,CA,Birth Rate,35-39,61.0
2014,CA,Birth Rate,35-39,64.1
2015,CA,Birth Rate,35-39,63.6
2016,CA,Birth Rate,35-39,64.6
1988,CO,Birth Rate,35-39,29.0
1992,CO,Birth Rate,35-39,33.0
1996,CO,Birth Rate,35-39,35.8
2000,CO,Birth Rate,35-39,41.9
2005,CO,Birth Rate,35-39,52.3
2006,CO,Birth Rate,35-39,53.5
2007,CO,Birth Rate,35-39,53.5
2008,CO,Birth Rate,35-39,51.4
2009,CO,Birth Rate,35-39,51.3
2010,CO,Birth Rate,35-39,50.8
2011,CO,Birth Rate,35-39,50.6
2012,CO,Birth Rate,35-39,52.0
2013,CO,Birth Rate,35-39,52.8
2014,CO,Birth Rate,35-39,52.8
2015,CO,Birth Rate,35-39,54.5
2016,CO,Birth Rate,35-39,54.5
1988,CT,Birth Rate,35-39,32.6
1992,CT,Birth Rate,35-39,39.0
1996,CT,Birth Rate,35-39,44.6
2000,CT,Birth Rate,35-39,51.0
2005,CT,Birth Rate,35-39,58.7
2006,CT,Birth Rate,35-39,58.5
2007,CT,Birth Rate,35-39,59.8
2008,CT,Birth Rate,35-39,56.7
2009,CT,Birth Rate,35-39,55.4
2010,CT,Birth Rate,35-39,56.3
2011,CT,Birth Rate,35-39,55.1
2012,CT,Birth Rate,35-39,56.2
2013,CT,Birth Rate,35-39,56.5
2014,CT,Birth Rate,35-39,58.7
2015,CT,Birth Rate,35-39,59.2
2016,CT,Birth Rate,35-39,61.6
1988,DE,Birth Rate,35-39,23.7
1992,DE,Birth Rate,35-39,27.4
1996,DE,Birth Rate,35-39,30.8
2000,DE,Birth Rate,35-39,36.3
2005,DE,Birth Rate,35-39,44.1
2006,DE,Birth Rate,35-39,45.9
2007,DE,Birth Rate,35-39,45.6
2008,DE,Birth Rate,35-39,47.3
2009,DE,Birth Rate,35-39,44.4
2010,DE,Birth Rate,35-39,46.2
2011,DE,Birth Rate,35-39,48.2
2012,DE,Birth Rate,35-39,48.4
2013,DE,Birth Rate,35-39,45.5
2014,DE,Birth Rate,35-39,47.6
2015,DE,Birth Rate,35-39,53.1
2016,DE,Birth Rate,35-39,51.3
1988,DC,Birth Rate,35-39,34.3
1992,DC,Birth Rate,35-39,41.8
1996,DC,Birth Rate,35-39,44.4
2000,DC,Birth Rate,35-39,46.7
2005,DC,Birth Rate,35-39,60.7
2006,DC,Birth Rate,35-39,60.7
2007,DC,Birth Rate,35-39,69.9
2008,DC,Birth Rate,35-39,69.3
2009,DC,Birth Rate,35-39,68.4
2010,DC,Birth Rate,35-39,67.2
2011,DC,Birth Rate,35-39,70.0
2012,DC,Birth Rate,35-39,72.4
2013,DC,Birth Rate,35-39,69.8
2014,DC,Birth Rate,35-39,71.9
2015,DC,Birth Rate,35-39,72.9
2016,DC,Birth Rate,35-39,72.7
1988,FL,Birth Rate,35-39,27.1
1992,FL,Birth Rate,35-39,30.4
1996,FL,Birth Rate,35-39,33.3
2000,FL,Birth Rate,35-39,37.4
2005,FL,Birth Rate,35-39,43.4
2006,FL,Birth Rate,35-39,45.4
2007,FL,Birth Rate,35-39,45.1
2008,FL,Birth Rate,35-39,44.4
2009,FL,Birth Rate,35-39,43.0
2010,FL,Birth Rate,35-39,43.0
2011,FL,Birth Rate,35-39,44.8
2012,FL,Birth Rate,35-39,44.9
2013,FL,Birth Rate,35-39,46.4
2014,FL,Birth Rate,35-39,48.5
2015,FL,Birth Rate,35-39,49.4
2016,FL,Birth Rate,35-39,50.3
1988,GA,Birth Rate,35-39,22.2
1992,GA,Birth Rate,35-39,25.4
1996,GA,Birth Rate,35-39,30.0
2000,GA,Birth Rate,35-39,36.2
2005,GA,Birth Rate,35-39,42.0
2006,GA,Birth Rate,35-39,43.7
2007,GA,Birth Rate,35-39,43.7
2008,GA,Birth Rate,35-39,42.7
2009,GA,Birth Rate,35-39,41.5
2010,GA,Birth Rate,35-39,40.8
2011,GA,Birth Rate,35-39,41.3
2012,GA,Birth Rate,35-39,42.2
2013,GA,Birth Rate,35-39,42.9
2014,GA,Birth Rate,35-39,45.5
2015,GA,Birth Rate,35-39,46.2
2016,GA,Birth Rate,35-39,46.0
1988,HI,Birth Rate,35-39,37.4
1992,HI,Birth Rate,35-39,42.8
1996,HI,Birth Rate,35-39,45.2
2000,HI,Birth Rate,35-39,50.8
2005,HI,Birth Rate,35-39,57.5
2006,HI,Birth Rate,35-39,59.3
2007,HI,Birth Rate,35-39,60.8
2008,HI,Birth Rate,35-39,61.8
2009,HI,Birth Rate,35-39,60.0
2010,HI,Birth Rate,35-39,59.4
2011,HI,Birth Rate,35-39,61.0
2012,HI,Birth Rate,35-39,62.1
2013,HI,Birth Rate,35-39,66.6
2014,HI,Birth Rate,35-39,62.8
2015,HI,Birth Rate,35-39,66.1
2016,HI,Birth Rate,35-39,63.6
1988,ID,Birth Rate,35-39,27.9
1992,ID,Birth Rate,35-39,28.7
1996,ID,Birth Rate,35-39,29.5
2000,ID,Birth Rate,35-39,34.7
2005,ID,Birth Rate,35-39,42.5
2006,ID,Birth Rate,35-39,42.1
2007,ID,Birth Rate,35-39,44.2
2008,ID,Birth Rate,35-39,42.8
2009,ID,Birth Rate,35-39,41.3
2010,ID,Birth Rate,35-39,40.8
2011,ID,Birth Rate,35-39,40.6
2012,ID,Birth Rate,35-39,41.9
2013,ID,Birth Rate,35-39,43.3
2014,ID,Birth Rate,35-39,45.0
2015,ID,Birth Rate,35-39,45.9
2016,ID,Birth Rate,35-39,43.5
1988,IL,Birth Rate,35-39,30.6
1992,IL,Birth Rate,35-39,34.4
1996,IL,Birth Rate,35-39,38.4
2000,IL,Birth Rate,35-39,43.4
2005,IL,Birth Rate,35-39,51.6
2006,IL,Birth Rate,35-39,51.4
2007,IL,Birth Rate,35-39,51.4
2008,IL,Birth Rate,35-39,50.1
2009,IL,Birth Rate,35-39,49.6
2010,IL,Birth Rate,35-39,49.1
2011,IL,Birth Rate,35-39,50.7
2012,IL,Birth Rate,35-39,51.0
2013,IL,Birth Rate,35-39,52.5
2014,IL,Birth Rate,35-39,54.4
2015,IL,Birth Rate,35-39,55.0
2016,IL,Birth Rate,35-39,55.6
1988,IN,Birth Rate,35-39,20.0
1992,IN,Birth Rate,35-39,22.2
1996,IN,Birth Rate,35-39,26.3
2000,IN,Birth Rate,35-39,31.0
2005,IN,Birth Rate,35-39,35.1
2006,IN,Birth Rate,35-39,36.1
2007,IN,Birth Rate,35-39,35.4
2008,IN,Birth Rate,35-39,35.7
2009,IN,Birth Rate,35-39,34.2
2010,IN,Birth Rate,35-39,35.1
2011,IN,Birth Rate,35-39,36.1
2012,IN,Birth Rate,35-39,36.2
2013,IN,Birth Rate,35-39,38.4
2014,IN,Birth Rate,35-39,39.0
2015,IN,Birth Rate,35-39,39.7
2016,IN,Birth Rate,35-39,41.5
1988,IA,Birth Rate,35-39,21.9
1992,IA,Birth Rate,35-39,24.4
1996,IA,Birth Rate,35-39,27.5
2000,IA,Birth Rate,35-39,31.6
2005,IA,Birth Rate,35-39,40.5
2006,IA,Birth Rate,35-39,40.6
2007,IA,Birth Rate,35-39,41.1
2008,IA,Birth Rate,35-39,38.6
2009,IA,Birth Rate,35-39,39.3
2010,IA,Birth Rate,35-39,38.6
2011,IA,Birth Rate,35-39,38.7
2012,IA,Birth Rate,35-39,41.2
2013,IA,Birth Rate,35-39,41.3
2014,IA,Birth Rate,35-39,43.5
2015,IA,Birth Rate,35-39,46.1
2016,IA,Birth Rate,35-39,44.6
1988,KS,Birth Rate,35-39,23.4
1992,KS,Birth Rate,35-39,27.5
1996,KS,Birth Rate,35-39,31.1
2000,KS,Birth Rate,35-39,35.1
2005,KS,Birth Rate,35-39,42.6
2006,KS,Birth Rate,35-39,42.9
2007,KS,Birth Rate,35-39,43.8
2008,KS,Birth Rate,35-39,41.6
2009,KS,Birth Rate,35-39,40.7
2010,KS,Birth Rate,35-39,42.3
2011,KS,Birth Rate,35-39,41.6
2012,KS,Birth Rate,35-39,44.8
2013,KS,Birth Rate,35-39,43.6
2014,KS,Birth Rate,35-39,44.7
2015,KS,Birth Rate,35-39,45.4
2016,KS,Birth Rate,35-39,45.8
1988,KY,Birth Rate,35-39,16.7
1992,KY,Birth Rate,35-39,19.4
1996,KY,Birth Rate,35-39,22.1
2000,KY,Birth Rate,35-39,26.3
2005,KY,Birth Rate,35-39,30.7
2006,KY,Birth Rate,35-39,31.6
2007,KY,Birth Rate,35-39,31.8
2008,KY,Birth Rate,35-39,31.4
2009,KY,Birth Rate,35-39,30.7
2010,KY,Birth Rate,35-39,31.0
2011,KY,Birth Rate,35-39,32.0
2012,KY,Birth Rate,35-39,32.2
2013,KY,Birth Rate,35-39,34.0
2014,KY,Birth Rate,35-39,35.6
2015,KY,Birth Rate,35-39,36.7
2016,KY,Birth Rate,35-39,37.7
1988,LA,Birth Rate,35-39,23.8
1992,LA,Birth Rate,35-39,24.5
1996,LA,Birth Rate,35-39,25.7
2000,LA,Birth Rate,35-39,28.8
2005,LA,Birth Rate,35-39,29.7
2006,LA,Birth Rate,35-39,32.1
2007,LA,Birth Rate,35-39,33.9
2008,LA,Birth Rate,35-39,32.9
2009,LA,Birth Rate,35-39,32.7
2010,LA,Birth Rate,35-39,31.8
2011,LA,Birth Rate,35-39,32.3
2012,LA,Birth Rate,35-39,34.6
2013,LA,Birth Rate,35-39,36.0
2014,LA,Birth Rate,35-39,37.5
2015,LA,Birth Rate,35-39,38.5
2016,LA,Birth Rate,35-39,39.2
1988,ME,Birth Rate,35-39,21.3
1992,ME,Birth Rate,35-39,23.3
1996,ME,Birth Rate,35-39,24.5
2000,ME,Birth Rate,35-39,28.5
2005,ME,Birth Rate,35-39,36.6
2006,ME,Birth Rate,35-39,37.0
2007,ME,Birth Rate,35-39,36.9
2008,ME,Birth Rate,35-39,35.7
2009,ME,Birth Rate,35-39,36.2
2010,ME,Birth Rate,35-39,35.4
2011,ME,Birth Rate,35-39,35.3
2012,ME,Birth Rate,35-39,36.3
2013,ME,Birth Rate,35-39,39.4
2014,ME,Birth Rate,35-39,41.8
2015,ME,Birth Rate,35-39,41.5
2016,ME,Birth Rate,35-39,42.8
1988,MD,Birth Rate,35-39,29.7
1992,MD,Birth Rate,35-39,36.2
1996,MD,Birth Rate,35-39,39.8
2000,MD,Birth Rate,35-39,46.2
2005,MD,Birth Rate,35-39,53.5
2006,MD,Birth Rate,35-39,54.3
2007,MD,Birth Rate,35-39,54.1
2008,MD,Birth Rate,35-39,54.3
2009,MD,Birth Rate,35-39,53.8
2010,MD,Birth Rate,35-39,54.6
2011,MD,Birth Rate,35-39,56.3
2012,MD,Birth Rate,35-39,57.8
2013,MD,Birth Rate,35-39,57.0
2014,MD,Birth Rate,35-39,61.3
2015,MD,Birth Rate,35-39,60.8
2016,MD,Birth Rate,35-39,63.1
1988,MA,Birth Rate,35-39,35.2
1992,MA,Birth Rate,35-39,41.6
1996,MA,Birth Rate,35-39,45.7
2000,MA,Birth Rate,35-39,53.8
2005,MA,Birth Rate,35-39,60.7
2006,MA,Birth Rate,35-39,61.7
2007,MA,Birth Rate,35-39,61.5
2008,MA,Birth Rate,35-39,62.4
2009,MA,Birth Rate,35-39,61.4
2010,MA,Birth Rate,35-39,61.2
2011,MA,Birth Rate,35-39,62.9
2012,MA,Birth Rate,35-39,64.6
2013,MA,Birth Rate,35-39,65.4
2014,MA,Birth Rate,35-39,65.5
2015,MA,Birth Rate,35-39,66.4
2016,MA,Birth Rate,35-39,66.7
1988,MI,Birth Rate,35-39,23.6
1992,MI,Birth Rate,35-39,28.0
1996,MI,Birth Rate,35-39,30.6
2000,MI,Birth Rate,35-39,36.6
2005,MI,Birth Rate,35-39,40.4
2006,MI,Birth Rate,35-39,40.6
2007,MI,Birth Rate,35-39,40.6
2008,MI,Birth Rate,35-39,39.5
2009,MI,Birth Rate,35-39,38.0
2010,MI,Birth Rate,35-39,38.9
2011,MI,Birth Rate,35-39,39.9
2012,MI,Birth Rate,35-39,40.8
2013,MI,Birth Rate,35-39,42.4
2014,MI,Birth Rate,35-39,43.5
2015,MI,Birth Rate,35-39,44.5
2016,MI,Birth Rate,35-39,45.9
1988,MN,Birth Rate,35-39,28.4
1992,MN,Birth Rate,35-39,32.5
1996,MN,Birth Rate,35-39,35.7
2000,MN,Birth Rate,35-39,41.6
2005,MN,Birth Rate,35-39,51.5
2006,MN,Birth Rate,35-39,53.0
2007,MN,Birth Rate,35-39,51.0
2008,MN,Birth Rate,35-39,50.5
2009,MN,Birth Rate,35-39,49.8
2010,MN,Birth Rate,35-39,49.9
2011,MN,Birth Rate,35-39,51.8
2012,MN,Birth Rate,35-39,52.1
2013,MN,Birth Rate,35-39,53.9
2014,MN,Birth Rate,35-39,55.4
2015,MN,Birth Rate,35-39,56.9
2016,MN,Birth Rate,35-39,58.4
1988,MS,Birth Rate,35-39,20.5
1992,MS,Birth Rate,35-39,20.4
1996,MS,Birth Rate,35-39,22.6
2000,MS,Birth Rate,35-39,25.0
2005,MS,Birth Rate,35-39,26.9
2006,MS,Birth Rate,35-39,29.1
2007,MS,Birth Rate,35-39,29.7
2008,MS,Birth Rate,35-39,28.6
2009,MS,Birth Rate,35-39,27.6
2010,MS,Birth Rate,35-39,26.4
2011,MS,Birth Rate,35-39,26.5
2012,MS,Birth Rate,35-39,28.1
2013,MS,Birth Rate,35-39,28.1
2014,MS,Birth Rate,35-39,29.5
2015,MS,Birth Rate,35-39,31.7
2016,MS,Birth Rate,35-39,33.0
1988,MO,Birth Rate,35-39,22.5
1992,MO,Birth Rate,35-39,25.3
1996,MO,Birth Rate,35-39,28.3
2000,MO,Birth Rate,35-39,31.6
2005,MO,Birth Rate,35-39,36.4
2006,MO,Birth Rate,35-39,37.2
2007,MO,Birth Rate,35-39,36.7
2008,MO,Birth Rate,35-39,36.5
2009,MO,Birth Rate,35-39,36.3
2010,MO,Birth Rate,35-39,36.2
2011,MO,Birth Rate,35-39,37.4
2012,MO,Birth Rate,35-39,37.9
2013,MO,Birth Rate,35-39,39.1
2014,MO,Birth Rate,35-39,39.9
2015,MO,Birth Rate,35-39,41.4
2016,MO,Birth Rate,35-39,42.8
1988,MT,Birth Rate,35-39,25.2
1992,MT,Birth Rate,35-39,27.7
1996,MT,Birth Rate,35-39,29.0
2000,MT,Birth Rate,35-39,32.9
2005,MT,Birth Rate,35-39,40.1
2006,MT,Birth Rate,35-39,42.3
2007,MT,Birth Rate,35-39,41.9
2008,MT,Birth Rate,35-39,38.9
2009,MT,Birth Rate,35-39,39.0
2010,MT,Birth Rate,35-39,42.2
2011,MT,Birth Rate,35-39,40.1
